author,music,lyrics
Sabrina Carpenter,Sharpest Tool,"I knowYou're notThe sharpest tool in the shedWe had sex, I met your best friendsThen a bird flies by and you forgetI don'tHear a wordTill your guilt creeps inOn a Tuesday, send a soft: HeyAs if you really don't recall the timeWe were goin' right, then you took a leftLeft me with a lot of shit to second-guessGuess I'll waste another year on wonderin' ifIf that was casual, then I'm an idiotI'm lookin' for an answer in between the linesLyin' to yourself if you think we're fineYou're confused and I'm upset, butWe never talk about itWe never talk about itWe never talk about itAll the silence justMakes it worse, really'Cause it leaves you soTop of mind for meAll the silence isJust your strategy'Cause it leaves you soTop of mind for meWe never talk about how youFound God at your ex's house, alwaysMade sure that the phone was face downSeems like overnight I'm just the bitch you hate nowWe never talk it throughHow you guilt-tripped me to open up to youThen you logged out, leave me dumbfoundedMmm, mmm, mmm, mmmWe were goin' right, then you took a leftLeft me with a lot of shit to second-guessGuess I'll waste another year on wonderin' ifIf that was casual, then I'm an idiotI'm lookin' for an answer in between the linesLyin' to yourself if you think we're fineYou're confused and I'm upset, butWe never talk about it (we don't talk about it)We never talk about it (we don't talk about it)We never talk about it (we don't talk about it)(We don't t talk about it, we don't talk about it)(We don't t talk about it, we don't talk about it)We never talk about how youFound God at your ex's house, alwaysMade sure that the phone was face downSeems like overnight I'm just the bitch you hate nowWe never talk it throughHow you guilt-tripped me to open up to youThen you logged out, leave me dumbfoundedMmm, mmm, mmm, mmm(We don't talk about it)(We never talk about it)(We don't talk about it)(Talk, talk, talk about it) (we never talk about it)(We don't talk about it)(We don't talk about it) (we never talk about it)(We don't talk about it)(We don't talk about it)"
Katy Perry,"I'M HIS, HE'S MINE (feat. Doechii)","Do-Do-Do-Do-Do, Doechii and Katy up in the spotDoechii and Katy (Doechii and Katy)I'm his queen, I'm his freakI'm every woman he wants and needsI'm his dream, I'm his drugI'm every woman he wants, so what?I'm his boss, I'm that bitchI'm every woman he knows existsI'm his main, I'm his sideI'm every woman that's in his mindLa-da-dee, la-da-daLa-da-dee, la-da-daI'm his, he's mineLa-da-dee, la-da-daLa-da-dee, la-da-daI'm his, he's mineI can see you flirtin'Why you overworkin'?On him like a suntanGo and get your own manThinkin' that we're over (over)We only gettin' closer (closer)You're creepin' in his DMsI'm sleepin' in his sweatpantsWe good, we fine, don't even try (don't you try)Don't waste your time, I'm what he likes (what he likes)I'm his queen, I'm his freakI'm every woman he wants and needsI'm his dream, I'm his drugI'm every woman he wants, so what?I'm his boss, I'm that bitchI'm every woman he knows existsI'm his main, I'm his sideI'm every woman that's in his mindLa-da-dee, la-da-daLa-da-dee, la-da-daI'm his, he's mineLa-da-dee, la-da-daLa-da-dee, la-da-daI'm his, he's mine(Doechii)What you tryna do? Baby, lock inWe could get it in, you could bring a friendHoes so pressed when I step in the spotI'm so possessive and up-echelonUpper echelon rollin' up in the shadeIf you try to vibe with him, might catch a fadeI be so aggressive and narci-the-cisticYou know I'ma slide in a ho about a big dickBaby, we goodWe good, we fine, don't even try (don't try, don't you try, don't try it)Don't waste your time, I'm what he likes (what he likes, what he likes, what he likes)I'm his queen, I'm his freakI'm every woman he wants and needsI'm his dream, I'm his drugI'm every woman he wants, so what?I'm his boss, I'm that bitchI'm every woman he knows exists (yeah)I'm his main, I'm his sideI'm every woman that's in his mindLa-da-dee, la-da-daLa-da-dee, la-da-daI'm his, he's mineLa-da-dee, la-da-daLa-da-dee, la-da-daI'm his, he's mine"
Comunidade de Nilópolis,Não Há Deus Maior,"Não há Deus maiorNão há Deus melhorNão há Deus tão grandeComo nosso DeusNão há Deus maiorNão há Deus melhorNão há Deus tão grandeComo nosso DeusCriou o céu, criou a TerraCriou o Sol e as estrelasTudo Ele fez, tudo criouTudo formouPara o Seu louvorPara o Seu louvorPara o Seu, para o SeuPara o Seu louvorNão há Deus maiorNão há Deus melhorNão há Deus tão grandeComo nosso DeusCriou o céu, criou a TerraCriou o Sol e as estrelasTudo Ele fez, tudo criouTudo formouPara o Seu louvorPara o Seu louvorPara o Seu, para o SeuPara o Seu louvorSe Eu colocar as minhas mãosSobre os enfermosE eles serão curadosSe Eu colocar as minhas mãosSobre os enfermosE eles serão curadosJesus Cristo tem poderJesus Cristo tem poderJesus Cristo tem poderPra curar a mim e a vocêPra curar a mim e a vocêPra curar a mim e a vocêPra curar a mim e a você"
José Jr.,Se Hoje Me Toca,"Abra os meus olhosPara ver a beleza da Tua santidadeQuero ver os contornos do Seu rostoContemplar até os poros de Sua peleE todo o esplendor da glóriaEm Ti hei de encontrarAbra os meus olhosPara ver a beleza da Tua santidade, uhAssim Tu me manténs apaixonado por TiAssim Tu manténs o amor que arde em mimE assim aperto os passos e mais mil milhasEu caminho quando olho pra TiAssim Tu me manténs apaixonado por TiAssim Tu manténs o amor que arde em mimE assim aperto os passos, mais mil milhasEu caminho quando olho pra TiPois se hoje me tocasAmanhã eu precisoDo Seu toque de novoE de novo, e de novoPois se hoje me tocasAmanhã eu precisoDo Seu toque de novoE de novo, e de novoPois se hoje me tocasAmanhã eu precisoDo Seu toque de novoE de novo, e de novoPois se hoje me tocasAmanhã eu precisoDo Seu toque de novoE de novo, e de novoPois se hoje me tocasAmanhã eu precisoDo Seu toque de novoE de novo, e de novoPois se hoje me tocasAmanhã eu precisoDo Seu toque de novoE de novo, e de novo(como na primeira vez)(como no primeiro encontro, uh)Faça as escamas caírem ao chãoFaça as escamas caírem ao chãoFaça as escamas caírem ao chãoAssim eu Te vejo nitidamenteFaça as escamas caírem ao chãoFaça as escamas caírem ao chãoFaça as escamas caírem ao chãoAssim eu Te vejo nitidamente, oohFaça as escamas caírem ao chão, ohFaça as escamas caírem ao chão, iêFaça as escamas caírem ao chãoAssim eu Te vejo nitidamenteÉ o Seu toque que me faz ver, me faz ver, me faz verSem o Seu toque, não enxergo nada, tudo escuro, tudo embaçadoÉ o Seu toque que me faz ver, me faz ver, me faz verSem o Seu toque, não enxergo nada, tudo escuro, tudo embaçadoÉ o Seu toque que me faz ver, me faz ver, me faz verSem o Seu toque, não enxergo nada, tudo escuro, tudo embaçadoÉ o Seu toque que me faz ver, me faz ver, me faz verSem o Seu toque, não enxergo nada, tudo escuro, tudo embaçadoÉ o Teu toque que me faz ver, me faz ver, me faz verSem o Teu toque, não enxergo nada, tudo escuro, tudo embaçadoÉ o Teu toque que me faz ver, me faz ver, me faz verSem o Teu toque, não enxergo nada, tudo escuro, tudo embaçadoFaça as escamas caírem ao chão, êFaça as escamas caírem ao chão, por favor, JesusFaça as escamas caírem ao chãoAssim eu Te vejo nitidamente, oohFaça as escamas caírem ao chãoFaça as escamas caírem ao chãoFaça as escamas caírem ao chãoAssim eu Te vejo nitidamente, nitidamentePois se hoje me tocasAmanhã eu precisoDo Seu toque de novoE de novo, e de novoPois se hoje me tocasAmanhã eu precisoDo Seu toque de novoE de novo, e de novoPois se hoje me tocasAmanhã eu precisoDo Seu toque de novoE de novo, e de novoPois se hoje me tocas"
FloyyMenor,Gata Only (part. Cris Mj),"EyMami, te siento lejo', dime dónde estásTe quiero chingar, te voy a raptarDéjate llevar, apaga el celularQue si estás conmigo, no te va a pasar na'Solo déjate llevarNena, atenta a la jugada(Si yo quiero contigo y tú quiere' conmigo)(Dime si se da)Ba-ba-baby, dale, ponte pa' mí, follow meTú ere', like, for me y yo 'toy pa' tiGata, tú está' only, mándame tu ubiMueve los cachete' al ritmo del TikTokConmigo esa gata se escapóY, еn su casa, nadie lo notóE' que conmigo la baby esta nochе la pasó cabrónGata, pon el celu en modo aviónTú mi loca y yo, tu locochónTú te pone' pa' mí y yo por ti me tiro to'a la misiónMami, te siento lejo', dime dónde estásTe quiero chingar, te voy a raptarDéjate llevar y apaga el celularQue si estás conmigo, no te va a pasar na'Solo déjate llevarNena atenta a la fugaSi yo quiero contigo y tú quiere' conmigoBa-ba-baby, dale, ponte pa' mí, follow meTú ere', like, for me, yo tu Brad PittGata, tú está' only, mándame tu ubiMueve los cachete' al ritmo del TikTokConmigo esa gata se escapóEl que la rompe soy yoMe la robó de menorOtra noche dándote, dándoteTocándote, calentándoteEncima viniéndoteAl oído, gimiéndomeY yo la sigo enamorando, regalandoTo' el dia comprandoLo que uste', mamita, quiereAhora nos 'tamo alejando, no te estoy viendo, los día' volandoEstar sola, tú prefiere'Ven y dame un chance pa' guayarteAllá abajo mojarte toa' las parte'To'a la noche dándote, dándoteTocándote, calentándoteBaby, dale, ponte pa' mí, follow meTú ere', like, for me, yo tu Brad PittGata, tú está' only, mándame tu ubiMueve los cachete' al ritmo del TikTokConmigo esa gata se escapóEl que la rompe soy yoMe la robó de menor(Ah-ah-ah-ah-ah)EyYa tú sabe' quiéne', ya tú sabe' quienes somo'EyFloyyMenorCris Mj, El Más Que Suena(Ah-ah-ah, ah-ah-ah)FloyyMenor'Vamo matando, brr(Mami, te siento lejo', dime dónde estás)(Te quiero chingar, te voy a raptar)(Déjate llevar, apaga el celular)(Que si estás conmigo, no te va a pasar na')Tú y yo en La SerenaPor la Avenida del MarSi yo quiero contigo y tú quiere' conmigoDime si se daTra, tra, tra, tra, tra, tra, tra, tra ,tra ,tra ,traJa-jaMuaPa' que sepa'"
Corinhos Evangélicos,Deus Está Aqui,"Deus está aquiTão certo como o ar que eu respiroTão certo como o amanhã que se levantaTão certo como eu te falo e podes me ouvirDeus está aqui, aleluia!Tão certo como o ar que eu respiroTão certo como o amanhã que se levantaTão certo como eu te falo e podes me ouvirDeus está aqui, aleluia!Tão certo como o ar que eu respiroTão certo como o amanhã que se levantaTão certo como eu te falo e podes me ouvirDeus está aqui, aleluia!Tão certo como o ar que eu respiroTão certo como o amanhã que se levantaTão certo como eu te falo e podes me ouvirTão certo como eu te falo e podes me ouvir"
Gusttavo Lima,A Noite (La Notte),"Palavras não bastam, não dá pra entenderEsse medo que cresce e não paraÉ uma história que se complicouEu sei bem o porquêQual é o peso da culpa que eu carrego nos braços?Me entorta as costas e dá um cansaçoA maldade do tempo fezEu me afastar de vocêE quando chega a noiteEu não consigo dormirMeu coração aceleraEu sozinho aquiMudo o lado da camaEu ligo a televisãoOlhos nos olhos do espelhoO telefone na mãoPro tanto que eu te queria, o perto nunca bastavaEssa proximidade não davaMe perdi no que era real e no que eu inventeiReescrevi as memórias, deixei o cabelo crescerE te dedico uma linda história, confessoNem a maldade do tempo consegue me afastar de vocêTe contei tantos segredosQue já não eram só meusRimas de um velho diárioQue nunca me pertenceuTentei palavras não ditasTantas palavras de amorNossa paixão é antigaE o tempo nunca passouE quando chega a noiteEu não consigo dormirMeu coração aceleraEu sozinho aquiMudo o lado da camaEu ligo a televisãoOlhos nos olhos do espelhoE o telefone na minha mãoYeah, yeah, yeah, yeahE quando chega a noiteEu não consigo dormirMeu coração aceleraEu sozinho aquiMudo o lado da camaEu ligo a televisãoOlhos nos olhos do espelhoE o telefone na minha mãoNa minha mão"
Olivia Rodrigo,traitor,"Brown guilty eyes and little white liesYeah, I played dumb, but I always knewThat you talked to her, maybe did even worseI kept quiet so I could keep youAnd ain't it funny how you ran to herThe second that we called it quits?And ain't it funny how you said you were friends?Now it sure as hell don't look like itYou betrayed meAnd I know that you'll never feel sorryFor the way I hurt, yeahYou talked to her when we were togetherLoved you at your worst, but that didn't matterIt took you two weeks to go off and date herGuess you didn't cheat, but you're still a traitorNow you bring her around just to shut me downShow her off like she's a new trophyAnd I know if you were trueThere's no damn way that youCould fall in love with somebody that quicklyAin't it funny? All the twisted gamesAll the questions you used to avoid?Ain't it funny? Remember I brought her upAnd you told me I was paranoid?You betrayed meAnd I know that you'll never feel sorryFor the way I hurt, yeahYou talked to her when we were togetherLoved you at your worst, but that didn't matterIt took you two weeks to go off and date herGuess you didn't cheat, but you're still a traitorGod, I wish that you had thought this throughBefore I went and fell in love with youWhen she's sleeping in the bed we madeDon't you dare forget about the wayYou betrayed me'Cause I know that you'll never feel sorryFor the way I hurt, yeahYou talked to her when we were togetherYou gave me your word, but that didn't matterIt took you two weeks to go off and date herGuess you didn't cheat, but you're still, you're still a traitorYeah, you're still a traitorGod, I wish that you had thought this throughBefore I went and fell in love with you"
System Of A Down,Toxicity,"Conversion, software version 7.0Looking at life through the eyes of a tire hubEating seeds as a pastime activityThe toxicity of our city, of our cityYou, what do you own the world?How do you own disorder, disorder?Now, somewhere between the sacred silenceSacred silence and sleepSomewhereBetween the sacred silence and sleepDisorder, disorder, disorderMore wood for their fires, loud neighborsFlashlight reveries caught in the headlights of a truckEating seeds as a pastime activityThe toxicity of our city, of our cityYou, what do you own the world?How do you own disorder, disorder?Now, somewhere between the sacred silenceSacred silence and sleepSomewhereBetween the sacred silence and sleepDisorder, disorder, disorderYou, what do you own the world?How do you own disorder?Now, somewhere between the sacred silenceSacred silence and sleepSomewhereBetween the sacred silence and sleepDisorder, disorder, disorderWhen I became the SunI shone life into the man's heartsWhen I became the SunI shone life into the man's hearts"
Anderson Freire,Canção do Céu,"Existe uma canção em cada um de nósFoi Deus quem escreveu pra Ele mesmo ouvirO inimigo quer tirar ela de mimMas serei fiel até o fimIntegrante sou do coral celestialO meu Maestro disse que eu sou especialNão vivo mais eu, quem vive em mim é EleEstou ensaiando pra cantar no céu pra EleNo coral eu quero cantarDeclarar que Ele é santo, santoInfinitamente adorarDizendo que Jesus é santo, santoA composição do céuVai cantar quem for fielO hino da vitória será meu troféuNo coral eu quero cantarDeclarar que Ele é santo, santoInfinitamente adorarDizendo que Jesus é santo, santoA composição do céuVai cantar quem for fielVou erguer o meu troféuIntegrante sou do coral celestialO meu Maestro disse que eu sou especialNão vivo mais eu, quem vive em mim é EleEstou ensaiando pra cantar no céu pra EleNo coral eu quero cantarDeclarar que Ele é santo, santoInfinitamente adorarDizendo que Jesus é santo, santoA composição do céuVai cantar quem for fielO hino da vitória será meu troféuNo coral eu quero cantarDeclarar que Ele é santo, santoInfinitamente adorarDizendo que Jesus é santo, santoA composição do céuVai cantar quem for fielVou erguer o meu troféuAdorado, exaltado, poderosoMagnificado, Jesus Cristo gloriosoNo grande dia esperado, vou louvarSanto é o SenhorAdorado, exaltado, poderosoMagnificado, Jesus Cristo gloriosoNo grande dia esperado, vou louvarSanto, santo é o SenhorNo coral eu quero cantarDeclarar que Ele é santo, santoInfinitamente adorarDizendo que Jesus é santo, santoA composição do céuVai cantar quem for fielO hino da vitória será meu troféuNo coral eu quero cantarDeclarar que Ele é santo, santoInfinitamente adorarDizendo que Jesus é santo, santoA composição do céuVai cantar quem for fielVou erguer o meu troféu"
Adele,Hello,"Hello, it's meI was wondering if after all these years you'd like to meetTo go over everythingThey say that time's supposed to heal yaBut I ain't done much healingHello, can you hear me?I'm in California dreaming about who we used to beWhen we were younger and freeI've forgotten how it felt before the world fell at our feetThere's such a difference between usAnd a million milesHello from the other sideI must've called a thousand timesTo tell you I'm sorry for everything that I've doneBut when I call, you never seem to be homeHello from the outsideAt least I can say that I've triedTo tell you I'm sorry for breaking your heartBut it don't matter, it clearly doesn't tear you apart anymoreHello, how are you?It's so typical of me to talk about myself, I'm sorryI hope that you're wellDid you ever make it out of that townWhere nothing ever happened?It's no secret that the both of usAre running out of timeSo hello from the other side (other side)I must've called a thousand times (thousand times)To tell you I'm sorry for everything that I've doneBut when I call, you never seem to be homeHello from the outside (outside)At least I can say that I've tried (I've tried)To tell you I'm sorry for breaking your heartBut it don't matter, it clearly doesn't tear you apart anymore(Highs, highs, highs, highs, lows, lows, lows, lows)Ooh, anymore(Highs, highs, highs, highs, lows, lows, lows, lows)Ooh, anymore(Highs, highs, highs, highs, lows, lows, lows, lows)Ooh, anymore(Highs, highs, highs, highs, lows, lows, lows, lows)AnymoreHello from the other side (other side)I must've called a thousand times (thousand times)To tell you I'm sorry for everything that I've doneBut when I call, you never seem to be homeHello from the outside (outside)At least I can say that I've tried (I've tried)To tell you I'm sorry for breaking your heartBut it don't matter, it clearly doesn't tear you apart anymore"
Billie Eilish,LUNCH,"Oh, mmmI could eat that girl for lunchYeah, she dances on my tongueTastes like she might be the oneAnd I could never get enoughI could buy her so much stuffIt's a craving, not a crush, huhCall me when you're thereSaid: I bought you something rareAnd I left it under ClaireSo now she's coming up the stairsSo I'm pulling up a chairAnd I'm putting up my hairBaby, I think you were made for meSomebody write down the recipeBeen trying hard not to overeatYou're just so sweetI'll run a shower for you like you wantClothes on the counter for you to try 'em onIf I'm allowed, I'll help you take 'em offHuhI could eat that girl for lunchYeah, she dances on my tongueTastes like she might be the oneAnd I could never get enoughI could buy her so much stuffIt's a craving, not a crush, huhI just wanna get her off, ohOh, oh, oh, ohOh, oh, ah-ah-ah-ahOh-ah-huhShe's taking pictures in the mirrorOh my God, her skin's so clearTell her: Bring that over hereYou need a seat? I'll volunteerNow she's smiling ear to earShe's the headlights, I'm the deerI've said it all before, but I'll say it againI'm interested in more than just being your friendI don't wanna break it, just want it to bendDo you know how to bend?I could eat that girl for lunchShe dances on my tongueI know it's just a hunchBut she might be the oneI couldEat that girl for lunchYeah, sheTastes like she might be the oneI could, I couldEat that girl for lunchYeah, she, yeah, sheTastes like she might be the one"
Harpa Cristã,Graças Dou,"Graças dou por esta vida: pelo bem que revelouGraças dou pelo futuro, e por tudo que passouPelas bênçãos derramadas, pela dor, pela afliçãoPela graça revelada! Graças dou pelo perdãoGraças pelo azul celeste e por nuvens que há tambémPelas rosas do caminho, por espinhos que elas têmPela escuridão da noite, pela estrela que brilhouPela prece respondida, pelo sonho que falhouPela cruz e o sofrimento e por toda provaçãoPelo amor que é sem medida, pela paz no coraçãoPela lágrima vertida, pelo alivio que é sem parPelo dom da eterna vida, sempre graças hei de dar!"
Linkin Park,Leave Out All The Rest,I dreamed I was missingYou were so scaredBut no one would listen'Cause no one else careAfter my dreamingI woke with this fearWhat am I leavingWhen I'm done here?So if you're asking meI want you to knowWhen my time comesForget the wrong that I've doneHelp me leave behind someReasons to be missedAnd don't resent meWhen you're feeling emptyKeep me in your memoryLeave out all the restLeave out all the restDon't be afraidI've taken my beatingI've shared what I'd madeI'm strong on the surfaceNot all the way throughI've never been perfectBut neither have youSo if you're asking meI want you to knowWhen my time comesForget the wrong that I've doneHelp me leave behind someReasons to be missedAnd don't resent meWhen you're feeling emptyKeep me in your memoryLeave out all the restLeave out all the restForgettingAll the hurt insideYou've learned to hide so wellPretendingSomeone else can comeAnd save me from myselfI can't be who you areWhen my time comesForget the wrong that I've doneHelp me leave behind someReasons to be missedAnd don't resent meWhen you're feeling emptyKeep me in your memoryLeave out all the restLeave out all the restForgettingAll the hurt insideYou've learned to hide so wellPretendingSomeone else can come and save me from myselfI can't be who you areI can't be who you are
Tate McRae,It's ok I'm ok,"(Mm, yeah)(Mm, uh)See you so excited (mm)You got him locked down (yeah)You're movin' like I did (mm)Before I found outHe ain't just a pretty-faced talkerGood with his money, close to his motherYou're seeing one-sided (sided)You got him right nowAnd she be like: He's so perfectI be like: Oh, what version?Nobody got me this nervousOh, baby, I been thereAnd right in that same positionSo, baby, don't get this twistedNo, nothin' could make me miss itTake him, he's yoursIt's okay, I'm okay, had him in the first placeIt's okay, I'm okay (I'm okay, yeah, yeah)It's okay, I'm okay, I don't really gotta sayIt's okay (okay), you can have him anyway (way), anyway (way)You can have him anyway (way), anyway (oh, oh, oh, oh)Was such a romantic (romantic)You got me like: Fuck thatSome months and some long flightsNow I can't go near thatAnd she be like: He's so perfectI be like: Oh, what version?Nobody got me this nervousOh, baby, I been thereAnd right in that same positionSo, baby, don't get this twistedNo, nothin' could make me miss itTake him, he's yoursIt's okay, I'm okay, had him in the first placeIt's okay, I'm okay (I'm okay)It's okay, I'm okay, I don't really gotta sayIt's okay (okay), you can have him anyway (way), anyway (way)You can have him anyway (way), anyway (way, way, way)It's okay, I'm okay, had him in the first placeIt's okay, I'm okay (I'm okay, I'm okay)It's okay, I'm okay, I don't really gotta say (it's okay)It's okay, you can have him anyway (anyway), anyway (anyway)You can have him anyway (anyway), anyway (oh, oh, oh, oh)I don't want him anyway, girl, take himI don't want him anyway, girl, take himI don't want him anyway, girl, take him (girl, just take him)I don't want him (yeah, I don't), I don't want him (yeah, I don't)I don't want him (anyway) anyway, girl, take him (anyway)I don't want him (anyway) anyway, girl, take himI don't, it's okay, it's okay, take himI don't want (yeah, I don't), I don't want"
Rosa Linn,Snap,"It's 4 AMI can't turn my head offWishing these memories would fadeThey never doTurns out people liedThey said: Just snap your fingersAs if it was really that easyFor me to get over youI just need timeSnapping, 1, 2Where are you?You're still in my heartSnapping, 3, 4Don't need you here anymoreGet out of my heart'Cause I might snapI'm writing a songSaid: This is the last oneBut how many last songs are left?I'm losing countSince June twenty-secondMy heart's been on fireI've been spending my nightsIn the rain trying to put it outSo, I'm snapping, 1, 2Where are you?You're still in my heartSnapping, 3, 4Don't need you here anymoreGet out of my heart'Cause I might snapOh, oh'Cause I might snapOh, ohAnd if one more person says: You should get over itOh, I might stop talking to people before I snap, snap, snapOh, I might stop talking to people before I snapSnapping, 1, 2Where are you? (Where are you?)You're still in my heart (still in my heart)Snapping, 3, 4Don't need you here anymore (need you here anymore)Get out of my heart'Cause I might snap (oh, oh)'Cause I might snap (oh, oh)Get out of my heart, yeah (oh, oh)'Cause I might snap (oh, oh)Get out of my heart, yeah'Cause you might snap"
Kansas,Carry On Wayward Son,"Carry on, my wayward sonThere'll be peace when you are doneLay your weary head to restDon't you cry no moreOnce I rose above the noise and confusionJust to get a glimpse beyond this illusionI was soaring ever higherBut I flew too highThough my eyes could see, I still was a blind manThough my mind could think, I still was a mad manI hear the voices when I'm dreamingI can hear them sayCarry on, my wayward sonThere'll be peace when you are doneLay your weary head to restDon't you cry no moreMasquerading as a man with a reasonMy charade is the event of the seasonAnd if I claim to be a wise man, wellIt surely means that I don't knowOn a stormy sea of moving emotionTossed about, I'm like a ship on the oceanI set a course for winds of fortuneBut I hear the voices sayCarry on, my wayward sonThere'll be peace when you are doneLay your weary head to restDon't you cry no more, no(Carry on) you will always remember(Carry on) nothing equals the splendorNow your life's no longer emptyBut surely heaven waits for youCarry on, my wayward sonThere'll be peace when you are doneLay your weary head to rest(Don't you cry) don't you cry no moreNo more"
Padre Zezinho,"Te Amarei, Senhor","Me chamaste para caminhar na vida contigoDecidi para sempre seguir-Te, não voltar atrásMe puseste uma brasa no peito e uma flecha na almaÉ difícil, agora, viver sem lembrar-me de TiTe amarei, Senhor, Te amarei, SenhorEu só encontro a paz e a alegriaBem perto de TiTe amarei, Senhor, Te amarei, SenhorEu só encontro a paz e a alegriaBem perto de TiEu pensei muitas vezes calar e não dar nem respostaEu pensei na fuga esconder-me, ir longe de TiMas tua força venceu e ao final eu fiquei seduzidaÉ difícil agora viver sem saudade de TiTe amarei, Senhor, Te amarei, SenhorEu só encontro a paz e a alegriaBem perto de TiTe amarei, Senhor, Te amarei, SenhorEu só encontro a paz e a alegriaBem perto de TiOh, Jesus, não me deixes jamais caminhar solitárioPois conheces a minha fraqueza e o meu coraçãoVem, ensina-me a viver a vida na Tua presençaNo amor dos irmãos, na alegria, na paz, na uniãoTe amarei, Senhor, Te amarei, SenhorEu só encontro a paz e a alegriaBem perto de TiTe amarei, Senhor, Te amarei, SenhorEu só encontro a paz e a alegriaBem perto de TiTe amarei, Senhor, Te amarei, SenhorEu só encontro a paz e a alegriaBem perto de TiTe amarei, Senhor, Te amarei, SenhorEu só encontro a paz e a alegriaBem perto de TiTe amarei, Senhor, Te amarei, SenhorEu só encontro a paz e a alegriaBem perto de TiTe amarei, Senhor, Te amarei, Senhor"
Frank Sinatra,Fly Me To The Moon,"Fly me to the MoonLet me play among the starsLet me see what spring is likeOn Jupiter and MarsIn other wordsHold my handIn other wordsBaby, kiss meFill my heart with songAnd let me sing forevermoreYou are all I long forAll I worship and adoreIn other wordsPlease, be trueIn other wordsI love youFill my heart with songLet me sing forevermoreYou are all I long forAll I worship and adoreIn other wordsPlease, be trueIn other wordsIn other wordsI love you"
Anderson Freire,A Igreja Vem,"Glória (glória)Rompendo em glória (rompendo em glória)De glória em glória (de glória em glória)Reflete a glóriaA igreja vemComo Aquele que brilha mais que a luz do SolDissipando as trevas, destruindo o malA sua face é um refletor de glóriaO céu derrama a glóriaPorque a igreja vemArrebentando com as portas do infernoCom barulho de milagre, levantando um exército de vidasÉ a igreja santaAqui perseguidaTentaram acabar com a base da igrejaSem ela, a Terra não povoaria o céuEla não teria força pra adorarNão haveria missionário em todo lugarMas o plano não deu certo, não, nãoTentaram nos calar matando alguns irmãosMas nada adiantou, surgiram mais cristãosLouvando como Paulo e Silas na prisãoMovendo o grande céu, estremecendo chãoAssumindo a missãoO plano do Senhor é o que prevaleceuHá quase dois mil anos, a igreja só cresceuJesus é a cabeça e nos ensina a trabalharA base é muito forte, nada pode abalarPor isso o inferno vive a chorarA igreja não descansa, o tempo todo está láBrilhando em toda parte, a igreja vemQuebrando cativeiros pra salvar alguémA igreja vemA igreja vemCom Aquele que brilha mais que a luz do SolDissipando as trevas, destruindo o malA sua face é um refletor de glóriaO céu derrama a glóriaPorque a igreja vemArrebentando com as portas do infernoCom barulho de milagre, levantando um exército de vidasÉ a igreja santaAqui perseguidaO plano do Senhor é o que prevaleceuHá quase dois mil anos, a igreja só cresceuJesus é a cabeça e nos ensina a trabalharA base é muito forte, nada pode abalarPor isso que o inferno vive a chorarA igreja não descansa, o tempo todo está láBrilhando em toda parte, a igreja vemQuebrando cativeiros pra salvar alguémA igreja vemA igreja vemCom Aquele que brilha mais que a luz do SolDissipando as trevas, destruindo o malA sua face é um refletor de glóriaO céu derrama a glóriaPorque a igreja vemArrebentando com as portas do infernoCom barulho de milagre, levantando um exército de vidasÉ a igreja santaAqui perseguidaO Noivo vem aíA igreja está se preparandoPra cantar no coralJunto com os anjos(Glória) o Noivo vem aí(Rompendo em glória) Ele está te convidando(De glória em glória) pra cantar no coral(Reflete a glória) junto com os anjosJunto com os anjos, junto com os anjosA igreja vem (vem)Com Aquele que brilha mais que a luz do SolDissipando as trevas, destruindo o malA sua face é um refletor de glóriaO céu derrama a glóriaPorque a igreja vemArrebentando com as portas do infernoCom barulho de milagre, levantando um exército de vidasÉ a igreja santaA igreja vemCom Aquele que brilha mais que a luz do SolDissipando as trevas, destruindo o malA sua face é um refletor de glóriaO céu derrama a glóriaPorque a igreja vemArrebentando com as portas do infernoCom barulho de milagre, levantando um exército de vidasÉ a igreja santaAqui perseguida"
